StockBlockBlue,StockBlockBlue,BushBlockBlue,BushBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,BushBlockBlue,BushBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue
StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,__,__,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,__,__,StockBlockBlue,StockBlockBlue,StockBlockBlue,BushBlockBlue,BushBlockBlue,StockBlockBlue,StockBlockBlue,BushBlockBlue,StockBlockBlue
StockBlockBlue,__,__,StockBlockBlue,__,__,__,__,__,__,__,StockBlockBlue,__,__,__,__,__,__,__,__,__,__,__,__,StockBlockBlue
StockBlockBlue,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,StockBlockBlue
StockBlockBlue,,,__,__,,,,,,,,,,,,,,,,,__,__,__,StockBlockBlue
OrangeDoorBlock,BlueDoorTopRight,,__,__,,,,,,,,,,,,,,,,,__,__,BlueDoorTopLeft,OrangeDoorBlock
OrangeDoorBlock,BlueDoorMiddleRight,,__,__,,,,,,,,,,,,,,,,,__,__,BlueDoorMiddleLeft,OrangeDoorBlock
OrangeDoorBlock,BlueDoorBottomRight,,__,__,,,,,,,,,,,,,,,,,__,__,BlueDoorBottomLeft,OrangeDoorBlock
StockBlockBlue,TubeBlockBlue,TubeBlockBlue,StockBlockBlue,__,,,,,,,,,,,,,,,,,StockBlockBlue,TubeBlockBlue,TubeBlockBlue,StockBlockBlue
StockBlockBlue,__,__,__,__,,,,,,,,,,,,,,,,,__,__,__,StockBlockBlue
StockBlockBlue,__,__,__,__,,,,,,,,,,,,,,,,,,,,StockBlockBlue
StockBlockBlue,__,__,__,__,,,,,,,,,,,,,,,,,,,,StockBlockBlue
StockBlockBlue,__,__,__,__,,Zeela,,,,,,,Zeela,,,,,,,,__,__,__,StockBlockBlue
StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue
StockBlockBlue,BushBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,BushBlockBlue,BushBlockBlue,StockBlockBlue,StockBlockBlue,BushBlockBlue,BushBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,BushBlockBlue,BushBlockBlue,StockBlockBlue,StockBlockBlue,BushBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,BushBlockBlue,BushBlockBlue,StockBlockBlue
