StockBlockBlue,StockBlockBlue,BushBlockBlue,BushBlockBlue,StockBlockBlue,StockBlockBlue,BushBlockBlue,BushBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue
StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,__,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,__,__,StockBlockBlue,StockBlockBlue,BushBlockBlue,StockBlockBlue
StockBlockBlue,__,__,StockBlockBlue,__,__,__,StockBlockBlue,__,__,__,__,__,__,__,StockBlockBlue
StockBlockBlue,__,__,__,__,__,__,__,__,__,__,__,__,__,__,StockBlockBlue
StockBlockBlue,,,__,__,__,__,__,__,__,__,__,__,__,__,StockBlockBlue
StockBlockBlue,,,__,__,__,__,,__,,__,,__,,BlueDoorTopLeft,OrangeDoorBlock
StockBlockBlue,,,__,__,__,,__,,__,__,__,__,,BlueDoorMiddleLeft,OrangeDoorBlock
StockBlockBlue,,,__,__,__,__,__,__,__,__,__,__,,BlueDoorBottomLeft,OrangeDoorBlock
StockBlockBlue,,,,__,__,__,__,__,__,__,__,StockBlockBlue,TubeBlockBlue,TubeBlockBlue,StockBlockBlue
StockBlockBlue,__,__,__,__,__,__,__,__,__,__,__,__,__,__,StockBlockBlue
StockBlockBlue,__,__,__,EnergyTankItem,__,__,__,__,,__,,,__,__,StockBlockBlue
StockBlockBlue,__,__,__,VerticalTubeStoneBlock,__,__,__,__,,,__,,,__,StockBlockBlue
StockBlockBlue,__,__,__,VerticalTubeStoneBlock,__,__,__,__,,__,__,,__,__,StockBlockBlue
StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue
StockBlockBlue,BushBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,BushBlockBlue,BushBlockBlue,StockBlockBlue,StockBlockBlue,StockBlockBlue,BushBlockBlue,BushBlockBlue,StockBlockBlue,BushBlockBlue,BushBlockBlue,StockBlockBlue
16,,,,,,,,,,,,,,,
